,Date,Close,Volume,Open,High,Low
21,2016-08-26,17900.0,74750,17800.0,17500.0,17900.0
2,2016-08-25,17800.0,86057,17500.0,17600.0,17800.0
3,2016-08-24,17500.0,53493,17600.0,17600.0,17700.0
4,2016-08-23,17600.0,100523,17500.0,17500.0,17600.0
5,2016-08-22,17500.0,64989,17600.0,17500.0,17600.0
6,2016-08-19,17600.0,126316,17600.0,17600.0,17600.0
7,2016-08-18,17600.0,113815,17700.0,17700.0,18000.0
8,2016-08-17,17700.0,117280,17800.0,17800.0,17800.0
9,2016-08-16,17800.0,106540,17500.0,17500.0,18000.0
10,2016-08-15,17500.0,39933,17700.0,17600.0,17700.0
11,2016-08-12,17700.0,48499,17700.0,17800.0,17900.0
12,2016-08-11,17700.0,16038,17700.0,17700.0,17700.0
13,2016-08-10,17700.0,136283,17600.0,17700.0,17700.0
14,2016-08-09,17600.0,32488,17600.0,17600.0,17700.0
15,2016-08-08,17600.0,69544,17600.0,17600.0,17600.0
16,2016-08-05,17600.0,70318,17500.0,17500.0,17700.0
17,2016-08-04,17500.0,110262,17300.0,17500.0,17700.0
18,2016-08-03,17300.0,75348,17500.0,17500.0,17500.0
19,2016-08-02,17500.0,76750,17800.0,17800.0,17800.0
20,2016-08-01,17800.0,39056,18100.0,18000.0,18100.0
21,2016-07-29,18100.0,138157,17900.0,17900.0,18100.0
2,2016-07-28,17900.0,33402,17900.0,18000.0,18000.0
3,2016-07-27,17900.0,59291,17900.0,17900.0,18100.0
4,2016-07-26,17900.0,143345,18100.0,18100.0,18200.0
5,2016-07-25,18100.0,73600,18100.0,18100.0,18300.0
6,2016-07-22,18100.0,70617,18300.0,18300.0,18300.0
7,2016-07-21,18300.0,115206,18500.0,18600.0,18700.0
8,2016-07-20,18500.0,109114,18500.0,18500.0,18500.0
9,2016-07-19,18500.0,465733,18900.0,18900.0,18900.0
10,2016-07-18,18900.0,59135,19000.0,18800.0,18900.0
11,2016-07-15,19000.0,218899,19000.0,19300.0,19300.0
12,2016-07-14,19000.0,855293,19000.0,19000.0,19500.0
13,2016-07-13,19000.0,437147,18500.0,18500.0,19400.0
14,2016-07-12,18500.0,26771,18500.0,18500.0,18500.0
15,2016-07-11,18500.0,256181,18700.0,18600.0,18700.0
16,2016-07-08,18700.0,213318,18700.0,18700.0,18700.0
17,2016-07-07,18700.0,46124,18500.0,18500.0,18900.0
18,2016-07-06,18500.0,119879,18500.0,18500.0,18500.0
19,2016-07-05,18500.0,224536,18500.0,18500.0,18700.0
20,2016-07-04,18500.0,289840,19000.0,18700.0,18700.0
21,2016-07-01,19000.0,160733,19000.0,18700.0,19000.0
2,2016-06-30,19000.0,20698,19000.0,19000.0,19000.0
3,2016-06-29,19000.0,65672,19000.0,18700.0,19000.0
4,2016-06-28,19000.0,18644,19100.0,18600.0,19000.0
5,2016-06-27,19100.0,102503,19200.0,18400.0,19100.0
6,2016-06-24,19200.0,153703,19200.0,19000.0,19200.0
7,2016-06-23,19200.0,62511,19200.0,19000.0,19200.0
8,2016-06-22,19200.0,108886,19200.0,19000.0,19200.0
9,2016-06-21,19200.0,130676,19200.0,19100.0,19200.0
10,2016-06-20,19200.0,49716,19100.0,19000.0,19200.0
11,2016-06-17,19100.0,118867,19100.0,19000.0,19100.0
12,2016-06-16,19100.0,135735,19100.0,19100.0,19200.0
13,2016-06-15,19100.0,51430,19100.0,19100.0,19100.0
14,2016-06-14,19100.0,113252,19000.0,19000.0,19200.0
15,2016-06-13,19000.0,138648,19000.0,18900.0,19200.0
16,2016-06-10,19000.0,82355,18900.0,18800.0,19100.0
17,2016-06-09,18900.0,83647,18800.0,18800.0,18900.0
18,2016-06-08,18800.0,42707,18700.0,18700.0,18900.0
19,2016-06-07,18700.0,28025,18700.0,18700.0,18700.0
20,2016-06-06,18700.0,142834,18500.0,18500.0,19000.0
21,2016-06-03,18500.0,94742,18500.0,18500.0,18700.0
2,2016-06-02,18500.0,49600,18500.0,18400.0,18600.0
3,2016-06-01,18500.0,72389,18400.0,18700.0,18700.0
4,2016-05-31,18400.0,190183,18500.0,18800.0,18800.0
5,2016-05-30,18500.0,90100,18500.0,18600.0,18600.0
6,2016-05-27,18500.0,170308,18300.0,18300.0,18500.0
7,2016-05-26,18300.0,373996,18400.0,18500.0,18600.0
8,2016-05-25,18400.0,174731,18500.0,18500.0,18700.0
9,2016-05-24,18500.0,204898,18500.0,18500.0,18700.0
10,2016-05-23,18500.0,144346,19100.0,18900.0,18900.0
11,2016-05-20,19100.0,50349,19400.0,19000.0,19400.0
12,2016-05-19,19400.0,102855,19300.0,19300.0,19400.0
13,2016-05-18,19300.0,520514,19000.0,18900.0,19800.0
14,2016-05-17,19000.0,266987,19000.0,19000.0,19200.0
15,2016-05-16,19000.0,193462,18700.0,18600.0,19000.0
16,2016-05-13,18700.0,303678,18800.0,18800.0,19200.0
17,2016-05-12,18800.0,569423,17900.0,18000.0,19100.0
18,2016-05-11,17900.0,362991,17900.0,17900.0,18000.0
19,2016-05-10,17900.0,92709,18000.0,18100.0,18100.0
20,2016-05-09,18000.0,233846,17800.0,17800.0,18000.0
21,2016-05-06,17800.0,111028,17800.0,17900.0,17900.0
2,2016-05-05,17800.0,151701,17900.0,17700.0,17900.0
3,2016-05-04,17900.0,48056,17900.0,17700.0,18000.0
4,2016-04-29,17900.0,75474,17700.0,17700.0,17900.0
5,2016-04-28,17700.0,39419,17800.0,18000.0,18000.0
6,2016-04-27,17800.0,241006,18000.0,18100.0,18100.0
7,2016-04-26,18000.0,117712,18000.0,18000.0,18100.0
8,2016-04-25,18000.0,19229,18200.0,18000.0,18300.0
9,2016-04-22,18200.0,126434,17700.0,17500.0,18200.0
10,2016-04-21,17700.0,76583,17700.0,17700.0,17700.0
11,2016-04-20,17700.0,73200,17800.0,18000.0,18000.0
12,2016-04-19,17800.0,27773,17900.0,18200.0,18200.0
13,2016-04-15,17900.0,66580,17800.0,18300.0,18300.0
14,2016-04-14,17800.0,89740,18100.0,18000.0,18200.0
15,2016-04-13,18100.0,94770,18300.0,18300.0,18300.0
16,2016-04-12,18300.0,71515,18400.0,18400.0,18400.0
17,2016-04-11,18400.0,49001,18500.0,18400.0,18400.0
18,2016-04-08,18500.0,51607,18200.0,18300.0,18500.0
19,2016-04-07,18200.0,32738,17900.0,18000.0,18300.0
20,2016-04-06,17900.0,164962,18000.0,18000.0,18000.0
21,2016-04-05,18000.0,59056,18300.0,18200.0,18200.0
2,2016-04-04,18300.0,69304,18300.0,18500.0,18500.0
3,2016-04-01,18300.0,125723,18300.0,18500.0,18700.0
4,2016-03-31,18300.0,104162,17700.0,18400.0,18400.0
5,2016-03-30,17700.0,215414,18500.0,18700.0,18700.0
6,2016-03-29,18500.0,72908,18600.0,18500.0,18600.0
7,2016-03-28,18600.0,28313,18600.0,18800.0,18800.0
8,2016-03-25,18600.0,28280,18700.0,19000.0,19000.0
9,2016-03-24,18700.0,60102,18800.0,18900.0,18900.0
10,2016-03-23,18800.0,349539,18900.0,18800.0,18900.0
11,2016-03-22,18900.0,143433,19000.0,18800.0,19000.0
12,2016-03-21,19000.0,48938,19100.0,18900.0,19300.0
13,2016-03-18,19100.0,49217,19100.0,19000.0,19200.0
14,2016-03-17,19100.0,51939,19200.0,19300.0,19300.0
15,2016-03-16,19200.0,85539,19200.0,19300.0,19300.0
16,2016-03-15,19200.0,75369,19100.0,19600.0,19600.0
17,2016-03-14,19100.0,130070,19400.0,19200.0,19400.0
18,2016-03-11,19400.0,38679,19300.0,19200.0,19500.0
19,2016-03-10,19300.0,127860,19400.0,19300.0,19400.0
20,2016-03-09,19400.0,72850,19000.0,19400.0,19400.0
21,2016-03-08,19000.0,349888,19800.0,19700.0,19700.0
2,2016-03-07,19800.0,168692,19700.0,19500.0,19800.0
3,2016-03-04,19700.0,106154,19500.0,19400.0,19700.0
4,2016-03-03,19500.0,209795,19500.0,19600.0,19600.0
5,2016-03-02,19500.0,187244,19600.0,19600.0,19600.0
6,2016-03-01,19600.0,140511,19700.0,19700.0,19800.0
7,2016-02-29,19700.0,192525,19900.0,19900.0,19900.0
8,2016-02-26,19900.0,54693,19800.0,19800.0,19900.0
9,2016-02-25,19800.0,170309,20000.0,20700.0,21600.0
10,2016-02-24,20000.0,613706,19200.0,18200.0,20200.0
11,2016-02-23,19200.0,268334,19200.0,19300.0,19500.0
12,2016-02-22,19200.0,93741,19200.0,19000.0,19500.0
13,2016-02-19,19200.0,162020,19200.0,19400.0,19400.0
14,2016-02-18,19200.0,65316,19200.0,19100.0,19500.0
15,2016-02-17,19200.0,141492,19400.0,19400.0,19400.0
16,2016-02-16,19400.0,114193,19000.0,19000.0,19500.0
17,2016-02-15,19000.0,25161,19100.0,19000.0,19200.0
18,2016-02-05,19100.0,59764,19000.0,18900.0,19300.0
19,2016-02-04,19000.0,120031,19000.0,19000.0,19000.0
20,2016-02-03,19000.0,80000,19000.0,19000.0,19000.0
21,2016-02-02,19000.0,113430,18900.0,18800.0,19000.0
2,2016-02-01,18900.0,158690,19000.0,18900.0,19000.0
3,2016-01-29,19000.0,85979,19000.0,18900.0,19000.0
4,2016-01-28,19000.0,29261,19000.0,20900.0,20900.0
5,2016-01-27,19000.0,154443,19000.0,19100.0,19100.0
6,2016-01-26,19000.0,43819,19100.0,19100.0,19100.0
7,2016-01-25,19100.0,143015,18600.0,18700.0,19300.0
8,2016-01-22,18600.0,29413,18900.0,18700.0,18800.0
9,2016-01-21,18900.0,91172,18900.0,18900.0,18900.0
10,2016-01-20,18900.0,195341,18900.0,18900.0,18900.0
11,2016-01-19,18900.0,71934,18600.0,18800.0,18900.0
12,2016-01-18,18600.0,325887,19100.0,18500.0,18900.0
13,2016-01-15,19100.0,260588,19000.0,19000.0,19200.0
14,2016-01-14,19000.0,315858,19000.0,19200.0,19200.0
15,2016-01-13,19000.0,81357,19000.0,19300.0,19300.0
16,2016-01-12,19000.0,48154,19000.0,19000.0,19300.0
17,2016-01-11,19000.0,37405,19100.0,19000.0,19100.0
18,2016-01-08,19100.0,84809,19100.0,19000.0,19100.0
19,2016-01-07,19100.0,94027,19500.0,19300.0,19400.0
20,2016-01-06,19500.0,40589,19400.0,19400.0,19500.0
21,2016-01-05,19400.0,47676,19700.0,19600.0,19600.0
2,2016-01-04,19700.0,36439,19800.0,19800.0,19800.0
3,2015-12-31,19800.0,49268,19500.0,19500.0,19800.0
4,2015-12-30,19500.0,23229,19400.0,19400.0,19500.0
5,2015-12-29,19400.0,66664,19300.0,19200.0,19500.0
6,2015-12-28,19300.0,31329,19200.0,19200.0,19400.0
7,2015-12-25,19200.0,42647,19200.0,19100.0,19300.0
8,2015-12-24,19200.0,46337,19200.0,19100.0,19300.0
9,2015-12-23,19200.0,99719,19300.0,19200.0,19400.0
10,2015-12-22,19300.0,3990,19400.0,19400.0,19400.0
11,2015-12-21,19400.0,64500,19200.0,19000.0,19500.0
12,2015-12-18,19200.0,61210,19500.0,19500.0,19500.0
13,2015-12-17,19500.0,65682,19300.0,19300.0,19500.0
14,2015-12-16,19300.0,231288,19300.0,19400.0,19600.0
15,2015-12-15,19300.0,185385,19400.0,19400.0,19400.0
16,2015-12-14,19400.0,10348,19400.0,19200.0,19400.0
17,2015-12-11,19400.0,42621,19300.0,19500.0,19500.0
18,2015-12-10,19300.0,53969,19600.0,19500.0,19500.0
19,2015-12-09,19600.0,19516,19600.0,19400.0,19600.0
20,2015-12-08,19600.0,198616,19400.0,19400.0,19600.0
21,2015-12-07,19400.0,106274,19400.0,19400.0,19500.0
2,2015-12-04,19400.0,93512,19400.0,19400.0,19500.0
3,2015-12-03,19400.0,120400,19500.0,19400.0,19600.0
4,2015-12-02,19500.0,175800,19400.0,19500.0,19500.0
5,2015-12-01,19400.0,70757,19400.0,19500.0,19500.0
6,2015-11-30,19400.0,65564,19400.0,19700.0,19700.0
7,2015-11-27,19400.0,159463,19600.0,19700.0,19800.0
8,2015-11-26,19600.0,125075,19600.0,19500.0,19800.0
9,2015-11-25,19600.0,87977,19600.0,19400.0,19900.0
10,2015-11-24,19600.0,104586,19900.0,18000.0,20100.0
11,2015-11-23,19900.0,137973,20000.0,20000.0,20000.0
12,2015-11-20,20000.0,52888,20100.0,20100.0,20100.0
13,2015-11-19,20100.0,149493,20200.0,20100.0,20200.0
14,2015-11-18,20200.0,106123,20100.0,20100.0,20200.0
15,2015-11-17,20100.0,104666,20200.0,20000.0,20300.0
16,2015-11-16,20200.0,182808,20500.0,20100.0,20400.0
17,2015-11-13,20500.0,89348,20300.0,20300.0,20500.0
18,2015-11-12,20300.0,192162,19900.0,20000.0,20300.0
19,2015-11-11,19900.0,63351,20200.0,20300.0,20300.0
20,2015-11-10,20200.0,59686,20400.0,21500.0,21500.0
21,2015-11-09,20400.0,62807,20600.0,20700.0,20700.0
2,2015-11-06,20600.0,60404,20500.0,20600.0,20700.0
3,2015-11-05,20500.0,130706,20400.0,20400.0,20600.0
4,2015-11-04,20400.0,114262,20600.0,20700.0,20700.0
5,2015-11-03,20600.0,126751,20600.0,20400.0,20700.0
6,2015-11-02,20600.0,49251,20800.0,20800.0,20800.0
7,2015-10-30,20800.0,167701,20800.0,20700.0,21000.0
8,2015-10-29,20800.0,204951,20600.0,20700.0,20800.0
9,2015-10-28,20600.0,78194,20900.0,20600.0,20800.0
10,2015-10-27,20900.0,72424,20900.0,20700.0,20900.0
11,2015-10-26,20900.0,246978,20800.0,20800.0,21000.0
12,2015-10-23,20800.0,175412,20800.0,20800.0,20900.0
13,2015-10-22,20800.0,176203,20500.0,20400.0,20800.0
14,2015-10-21,20500.0,282119,20600.0,20600.0,20800.0
15,2015-10-20,20600.0,149907,20700.0,20700.0,20800.0
16,2015-10-19,20700.0,178784,20700.0,20300.0,20900.0
17,2015-10-16,20700.0,431631,20800.0,20900.0,21000.0
18,2015-10-15,20800.0,371189,20800.0,20600.0,20900.0
