,Date,Close,Volume,Value,Open,High,Low
267,2019-04-01,1200.0,100,120000,1200.0,1200.0,1200.0
268,2019-03-29,1100.0,4500,4950000,1100.0,1100.0,1100.0
269,2019-03-28,1000.0,0,0,1000.0,1000.0,1000.0
270,2019-03-27,1000.0,0,0,1000.0,1000.0,1000.0
271,2019-03-26,1000.0,0,0,1000.0,1000.0,1000.0
272,2019-03-25,1000.0,0,0,1000.0,1000.0,1000.0
273,2019-03-22,1000.0,7300,7260000,1000.0,1000.0,900.0
274,2019-03-21,1000.0,0,0,1000.0,1000.0,1000.0
275,2019-03-20,1000.0,0,0,1000.0,1000.0,1000.0
276,2019-03-19,1000.0,0,0,1000.0,1000.0,1000.0
277,2019-03-18,1000.0,0,0,1000.0,1000.0,1000.0
278,2019-03-15,1100.0,1610,1661000,1000.0,1100.0,1000.0
279,2019-03-14,1100.0,0,0,1100.0,1100.0,1100.0
280,2019-03-13,1100.0,0,0,1100.0,1100.0,1100.0
281,2019-03-12,1100.0,0,0,1100.0,1100.0,1100.0
282,2019-03-11,1100.0,0,0,1100.0,1100.0,1100.0
283,2019-03-08,1100.0,301,321900,1100.0,1100.0,1100.0
284,2019-03-07,1000.0,0,0,1000.0,1000.0,1000.0
285,2019-03-06,1000.0,0,0,1000.0,1000.0,1000.0
286,2019-03-05,1000.0,0,0,1000.0,1000.0,1000.0
287,2019-03-04,1000.0,0,0,1000.0,1000.0,1000.0
288,2019-03-01,1000.0,0,0,1000.0,1000.0,1000.0
289,2019-02-28,1000.0,0,0,1000.0,1000.0,1000.0
290,2019-02-27,1000.0,0,0,1000.0,1000.0,1000.0
291,2019-02-26,1000.0,0,0,1000.0,1000.0,1000.0
292,2019-02-25,1000.0,0,0,1000.0,1000.0,1000.0
293,2019-02-22,1000.0,4400,4400000,1000.0,1000.0,1000.0
294,2019-02-21,1000.0,0,0,1000.0,1000.0,1000.0
295,2019-02-20,1000.0,0,0,1000.0,1000.0,1000.0
296,2019-02-19,1000.0,0,0,1000.0,1000.0,1000.0
297,2019-02-18,1000.0,0,0,1000.0,1000.0,1000.0
298,2019-02-15,1100.0,15800,15950000,1000.0,1100.0,1000.0
299,2019-02-14,1000.0,0,0,1000.0,1000.0,1000.0
300,2019-02-13,1000.0,0,0,1000.0,1000.0,1000.0
